PlotID,Longitude,Latitude,CellID,CellY,CellX,Country,Author,Date of recording,Releve area (m2),Location uncertainty (m),Dataset
1004295,4.84276,53.174598,7664382,53.17069387165,4.84569370495,Netherlands,,20-8-2006,4,5,Netherlands
1004409,5.932667,52.051423,8388112,52.05402720945,5.92902703395,Netherlands,,20-8-2007,4,5,Netherlands
1004412,5.814558,52.172505,8312498,52.17069387565,5.81236036775,Netherlands,,20-8-2007,4,5,Netherlands
1004413,5.814373,52.172322,8312498,52.17069387565,5.81236036775,Netherlands,,20-8-2007,4,5,Netherlands
1004418,5.815642,52.169697,8312498,52.17069387565,5.81236036775,Netherlands,,20-8-2007,4,5,Netherlands
1004421,5.81198,52.167661,8312498,52.17069387565,5.81236036775,Netherlands,,20-8-2007,4,5,Netherlands
1004422,5.814759,52.175512,8307098,52.17902720895,5.81236036775,Netherlands,,20-8-2007,4,5,Netherlands
1004427,5.830329,52.171527,8312500,52.17069387565,5.82902703435,Netherlands,,20-8-2007,4,5,Netherlands
1004458,5.828679,52.368949,8182900,52.37069387485,5.82902703435,Netherlands,,20-8-2006,9,5,Netherlands
1004495,7.033189,52.326177,8210044,52.32902720835,7.02902702955,Netherlands,,20-6-2001,4,5,Netherlands
1004502,6.549373,52.532136,8080386,52.52902720755,6.54569369815,Netherlands,,20-6-2001,4,5,Netherlands
1004602,6.501598,52.266066,8253181,52.26236054195,6.50402703165,Netherlands,,20-7-2008,25,5,Netherlands
1004617,3.519356,51.573621,8701023,51.57069387805,3.52069371025,Netherlands,,20-5-2008,16,5,Netherlands
1004626,6.456062,52.338438,8204575,52.33736054165,6.45402703185,Netherlands,,20-9-2008,8,5,Netherlands
1004631,6.4256,52.346044,8199172,52.34569387495,6.42902703195,Netherlands,,20-9-2008,9,5,Netherlands
1004668,5.765585,52.202021,8290892,52.20402720885,5.76236036795,Netherlands,,20-9-2006,9,5,Netherlands
1004669,5.682191,52.210825,8285482,52.21236054215,5.67902703495,Netherlands,,20-9-2006,9,5,Netherlands
1004818,3.661375,51.58295,8695640,51.57902721135,3.66236037635,Netherlands,,29-5-1998,4,5,Netherlands
1004826,3.728399,51.727971,8598448,51.72902721075,3.72902704275,Netherlands,,6-8-2010,9,5,Netherlands
1004846,6.555803,52.51338,8091187,52.51236054095,6.55402703145,Netherlands,,23-5-2000,9,5,Netherlands
1004871,6.493214,52.832061,7885980,52.82902720635,6.49569369835,Netherlands,,12-8-2009,16,5,Netherlands
1004874,6.486252,52.829025,7885979,52.82902720635,6.48736036505,Netherlands,,12-8-2009,9,5,Netherlands
1004875,6.494851,52.834607,7880580,52.83736053965,6.49569369835,Netherlands,,13-8-2009,9,5,Netherlands
1004897,6.422429,52.814444,7896771,52.81236053975,6.42069369865,Netherlands,,3-9-2009,9,5,Netherlands
1004904,6.40903,52.789476,7912970,52.78736053985,6.41236036535,Netherlands,,27-8-2009,4,5,Netherlands
1004942,5.541156,51.300595,8874065,51.30402721245,5.53736036885,Netherlands,,16-9-2009,16,5,Netherlands
1004946,5.57111,51.311455,8868669,51.31236054575,5.57069370205,Netherlands,,17-7-2009,16,5,Netherlands
1005016,6.787349,51.965523,8447615,51.96236054315,6.78736036385,Netherlands,,25-6-2009,4,5,Netherlands
1005067,4.378885,52.159628,8317726,52.16236054235,4.37902704015,Netherlands,,22-7-2009,4,5,Netherlands
1005070,4.379338,52.160252,8317726,52.16236054235,4.37902704015,Netherlands,,22-7-2009,4,5,Netherlands
1005072,4.396135,52.19366,8296128,52.19569387555,4.39569370675,Netherlands,,16-6-2009,4,5,Netherlands
1005073,4.396291,52.193194,8296128,52.19569387555,4.39569370675,Netherlands,,16-6-2009,4,5,Netherlands
1005075,4.407547,52.194133,8296129,52.19569387555,4.40402704005,Netherlands,,24-6-2009,4,5,Netherlands
1005155,7.030083,52.327714,8210044,52.32902720835,7.02902702955,Netherlands,,25-5-2010,4,5,Netherlands
1005170,6.449439,52.518369,8085774,52.52069387425,6.44569369855,Netherlands,,17-6-2010,4,5,Netherlands
