PlotID,Bio15,CWD,Bio5,Soil_ORC,Soil_CEC,Soil_PH
985568,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985569,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985571,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985572,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985574,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985577,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985582,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985583,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985584,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985588,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985590,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985594,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985595,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985596,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985604,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985607,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985608,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985609,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985610,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985611,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985613,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985614,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985625,1.41497334797082,423.468882019867,198,1.47348697006457,1.19207936443981,69.975
985626,1.41497334797082,414.311528026266,198,1.44976757541505,1.13173892866389,61.475
985632,1.43136376415899,398.727862977231,196,1.57540436066887,1.28555730900777,71.81875
985643,1.43136376415899,415.620046465281,197,1.44754562126701,1.17681448067478,68.85
985653,1.41497334797082,406.578137907765,197,1.43055876952276,1.15571549968396,67.36875
985654,1.41497334797082,406.578137907765,197,1.43055876952276,1.15571549968396,67.36875
985656,1.41497334797082,406.578137907765,197,1.43055876952276,1.15571549968396,67.36875
985661,1.43136376415899,398.727862977231,196,1.57540436066887,1.28555730900777,71.81875
985670,1.41497334797082,413.379781184884,197,1.4577873101101,1.17807722772153,65.2625
985677,1.41497334797082,414.311528026266,198,1.44976757541505,1.13173892866389,61.475
985678,1.41497334797082,414.311528026266,198,1.44976757541505,1.13173892866389,61.475
985679,1.39794000867204,426.664513018966,199,1.63106308719312,1.1260908019156,59.25625
985680,1.39794000867204,426.664513018966,199,1.63106308719312,1.1260908019156,59.25625
985684,1.41497334797082,423.468882019867,198,1.47348697006457,1.19207936443981,69.975
985686,1.41497334797082,423.468882019867,198,1.47348697006457,1.19207936443981,69.975
985691,1.41497334797082,423.468882019867,198,1.47348697006457,1.19207936443981,69.975
985698,1.41497334797082,406.578137907765,197,1.43055876952276,1.15571549968396,67.36875
985708,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
985709,1.41497334797082,407.677372068036,197,1.38582961866978,1.16842381810315,65.94375
